Datum,Stanice,Třída objektu,Počet
03.01.2024 15:00,Novinářská x 28. října - od Fifejd,Ostatní,321
03.01.2024 15:00,Novinářská x 28. října - od Vítkovic,Ostatní,224
03.01.2024 15:00,Novinářská x 28. října - od Vítkovic,Velké,5
03.01.2024 15:00,Novinářská x 28. října - od centra,Ostatní,163
03.01.2024 15:00,Novinářská x 28. října - od Poruby,Ostatní,223
03.01.2024 15:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,109
03.01.2024 15:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,41
03.01.2024 15:00,Bohumínská x 28. října - směr Přívoz,Ostatní,127
03.01.2024 15:00,Hlučínská x Slovenská - od Švermy,Ostatní,443
03.01.2024 15:00,Hlučínská x Slovenská - od Přívozu,Ostatní,330
03.01.2024 15:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,101
03.01.2024 15:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,28
03.01.2024 15:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
03.01.2024 16:00,Novinářská x 28. října - od Fifejd,Ostatní,205
03.01.2024 16:00,Novinářská x 28. října - od Vítkovic,Ostatní,126
03.01.2024 16:00,Novinářská x 28. října - od Vítkovic,Velké,8
03.01.2024 16:00,Novinářská x 28. října - od centra,Ostatní,65
03.01.2024 16:00,Novinářská x 28. října - od centra,Velké,1
03.01.2024 16:00,Novinářská x 28. října - od Poruby,Ostatní,106
03.01.2024 16:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,50
03.01.2024 16:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,50
03.01.2024 16:00,Bohumínská x 28. října - směr Přívoz,Ostatní,19
03.01.2024 16:00,Hlučínská x Slovenská - od Švermy,Ostatní,307
03.01.2024 16:00,Hlučínská x Slovenská - od Přívozu,Ostatní,92
03.01.2024 16:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,65
03.01.2024 16:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,4
03.01.2024 16:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,10
03.01.2024 16:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
03.01.2024 17:00,Novinářská x 28. října - od Fifejd,Ostatní,124
03.01.2024 17:00,Novinářská x 28. října - od Fifejd,Velké,2
03.01.2024 17:00,Novinářská x 28. října - od Vítkovic,Ostatní,109
03.01.2024 17:00,Novinářská x 28. října - od Vítkovic,Velké,2
03.01.2024 17:00,Novinářská x 28. října - od centra,Ostatní,24
03.01.2024 17:00,Novinářská x 28. října - od Poruby,Ostatní,68
03.01.2024 17:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,37
03.01.2024 17:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,37
