"COL_PROJECT_ID","COL_COVER_PAR","COL_COVER_POL","COL_PRIORITY","COL_SUBJ_OWNER","COL_NAME","COL_PLACE_CODE","COL_SUBJ_CODE","COL_YEAR_START","COL_YEAR_END","COL_COST_IN_EXP_ALL","COL_COST_ALL","COL_COST_FILL_TO_BEF_2","COL_COST_FILL_TO_BEF_1","COL_COST_NEED_0","COL_COST_NO_PUMP_BEF_1","COL_COST_GR_A_0","COL_COST_ALT_SRC_REQ","COL_COST_GR_F_0","COL_COST_GR_B_0","COL_COST_GR_C_0","COL_COST_GR_A_1","COL_COST_GR_C_1","COL_COST_GR_SUM_1","COL_COST_GR_A_2","COL_COST_GR_C_2","COL_COST_GR_SUM_2","COL_COST_GR_A_3","COL_COST_GR_C_3","COL_COST_GR_SUM_3","COL_COST_AFT",
"0986/19","3522","5331",2,"Mìstská nemocnice Ostrava","Oprava dilataèních spár a sanace energokanálu ","Moravská Ostrava a Pøívoz","Mìstská nemocnice Ostrava",2022,2026,0,2740000,240000,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,0,0,0,0,
"0136/18","6330","6363",3,"MOb Nová Ves","Park vùní a zahrad","Nová Ves","MOb Nová Ves",2025,2025,0,1000000,0,0,0,0,0,0,0,0,0,800000,200000,1000000,0,0,0,0,0,0,0,
"0233/19","2321","6371",1,"odbor investièní (ORJ 230)","Dotace na realizaci kanal. pøípojek napojovanıch na oddílnou kanalizaci","Michálkovice,Radvanice a Bartovice,Slezská Ostrava,Petøkovice","Magistrát mìsta Ostravy",2021,2025,0,21903000,1053000,2304000,2646000,2646000,0,0,0,0,0,15900000,0,15900000,0,0,0,0,0,0,0,
"0319/23","3639","6123",1,"Technické sluby, a.s. Slezská Ostrava","Poøízení nového zametacího stroje","statutární mìsto Ostrava","Technické sluby, a.s. Slezská Ostrava",2025,2025,0,4000000,0,0,0,0,0,0,0,0,0,4000000,0,4000000,0,0,0,0,0,0,0,
"0192/23","4357","6351",1,"Domov Sluneènice, Ostrava-Poruba","Havarijní vımìna leatıch rozvodù budovy D1 v dilataèním celku A a B","Poruba","Magistrát mìsta Ostravy",2024,2026,0,2000000,0,0,800000,0,800000,0,0,0,0,1000000,0,1000000,200000,0,200000,0,0,0,0,
"0550/19","2219","6121",3,"MOb Poruba","Veøejné prostranství lokality DUHA","Poruba","MOb Poruba",2018,2026,18000000,184589740,6587240,0,302500,0,0,0,0,0,302500,85000000,0,85000000,92700000,0,92700000,0,0,0,0,
"0301/23","6330","6363",1,"MOb Ostrava-Jih","Zateplení obvodového pláštì, pùdy a stropù sklepních prostor, zmìna vytápìní bytù na plynové etáové topení Abramovova 10, Ostrava-Zábøeh","Ostrava - Jih","MOb Ostrava-Jih",2022,2025,0,12993680,0,493680,8500000,0,0,0,6000000,0,2500000,0,4000000,4000000,0,0,0,0,0,0,0,
"0117/22","6330","6363",1,"MOb Krásné Pole","Parkovací plochy u sportovní haly v Krásném Poli","Krásné Pole","MOb Krásné Pole",2023,2025,0,1035950,0,0,0,0,0,0,0,0,0,720000,315950,1035950,0,0,0,0,0,0,0,
"0286/23","3745","6121",1,"odbor investièní (ORJ 230)","Námìstí Biskupa Bruna na Karolínì","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2026,0,103554500,0,406000,4237000,0,4237000,0,0,0,0,74183500,0,74183500,24728000,0,24728000,0,0,0,0,
"0980/19","3522","6121",1,"odbor investièní (ORJ 230)","MNO - Vıstavba budovy Hyperbarické komory","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2018,2024,0,102355584,6569910,69458576,26327098,1000000,0,0,25327098,0,0,0,0,0,0,0,0,0,0,0,0,
