Color,Smart Features,Energy Class,Price_Category,Weight_Category,Noise_Level_Category
White,No,F,Low,Medium,Medium
White,No,Unknown,Low,Light,Medium
Stainless Steel,No,D,High,Very Heavy,Medium
Black,No,Unknown,Low,Light,Medium
White,No,Unknown,Low,Medium,Medium
Inox style,No,Unknown,Medium,Heavy,Medium
White,No,Unknown,High,Heavy,Low
White,No,Unknown,Medium,Heavy,Medium
White,No,Unknown,Low,Medium,Medium
White,No,Unknown,Medium,Medium,High
Inox style,No,F,Medium,Heavy,Medium
White,Yes,F,Low,Medium,High
White,No,F,Low,Light,Medium
White,No,Unknown,Low,Medium,Medium
White,Yes,E,High,Heavy,Medium
Stainless Steel,Yes,E,High,Heavy,Medium
White,Yes,Unknown,High,Medium,Medium
Stainless Steel,Yes,Unknown,High,Medium,Medium
Inox,Yes,Unknown,Medium,Heavy,Medium
White,No,Unknown,Low,Light,Medium
White,No,Unknown,Low,Medium,Medium
White,No,Unknown,Medium,Heavy,Medium
White,No,C,Low,Medium,Medium
White,No,E,Low,Medium,High
White,No,E,Medium,Medium,Medium
White,No,E,Low,Light,Medium
White,No,E,Medium,Heavy,Medium
White,No,D,Low,Medium,Medium
White,No,E,Low,Medium,Medium
White,No,B,Medium,Medium,Medium
Stainless Steel,No,E,Medium,Very Heavy,Medium
Black,No,E,Medium,Very Heavy,Medium
White,No,E,Medium,Heavy,Medium
White,No,F,High,Medium,Medium
White,Yes,F,Low,Medium,Medium
White,No,E,Medium,Heavy,Medium
White,No,E,Medium,Heavy,Medium
White,No,D,Medium,Medium,Medium
Unknown,No,F,Medium,Medium,High
White,No,E,Medium,Medium,Medium
Stainless Steel,No,E,High,Very Heavy,Medium
White,No,A,Low,Medium,Medium
Silver,No,D,Medium,Heavy,Medium
Black,No,A,Medium,Medium,Medium
White,No,A,Low,Medium,Medium
Inox,No,E,Medium,Heavy,Medium
Black,No,Black,Medium,Very Heavy,Medium
White,No,E,Low,Heavy,High
White,No,A,Low,Heavy,High
White,No,E,Low,Heavy,High
Inox,No,E,Low,Heavy,Medium
White,No,D,Low,Heavy,Medium
Black,No,A+,Low,Heavy,High
White,No,D,Low,Heavy,Medium
White,No,E,Low,Heavy,High
White,No,E,Low,Light,Medium
White,No,E,Low,Heavy,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
Silver,Yes,E,Medium,Heavy,Medium
Stainless Steel,No,E,High,Heavy,Medium
White,No,E,High,Medium,Medium
White,No,E,Low,Light,Medium
Black,Yes,E,High,Heavy,Medium
White,No,E,Low,Heavy,Medium
Red,No,E,Low,Light,Medium
Black,No,E,Low,Light,Medium
Black,No,E,Low,Light,Medium
White,No,E,Low,Medium,Medium
White,Unknown,E,Low,Heavy,Medium
White,No,D,Low,Heavy,High
Inox,No,E,Low,Heavy,Medium
White,No,F,Medium,Heavy,Medium
White,No,F,Low,Heavy,Medium
White,No,E,Low,Medium,Medium
Black,Yes,D,Low,Light,Medium
White,No,E,Medium,Medium,Medium
White,No,E,Low,Heavy,Medium
Black,Yes,E,High,Heavy,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
White,No,E,Low,Heavy,High
White,No,E,Low,Medium,Medium
White,No,D,Low,Medium,High
Stainless Steel,Yes,E,High,Heavy,Medium
White,No,B,Low,Heavy,High
Unknown,Unknown,F,Medium,Heavy,Medium
White,Unknown,F,Medium,Medium,Medium
White,No,D,Medium,Heavy,Medium
White,No,D,Medium,Heavy,Medium
White,No,E,Medium,Medium,Medium
White,No,E,Low,Heavy,High
Stainless Steel,Yes,E,Medium,Heavy,Medium
Black,No,E,Medium,Heavy,Medium
Black,No,E,Medium,Heavy,Medium
White,No,E,Low,Heavy,Medium
Stainless Steel,No,D,Medium,Medium,Medium
Black,No,E,High,Very Heavy,Medium
Black,No,E,High,Very Heavy,Medium
Inox,No,F,Medium,Very Heavy,Medium
Black,No,E,Low,Light,Medium
Stainless Steel,No,F,Low,Light,Medium
Stainless Steel,No,E,Medium,Medium,Medium
Black,No,E,Medium,Medium,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
White,No,C,Low,Medium,Medium
Stainless Steel,No,E,Low,Medium,Medium
White,No,E,Low,Heavy,High
Stainless Steel,No,E,High,Very Heavy,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
Silver,No,E,Medium,Heavy,Medium
White,No,E,Low,Heavy,Medium
Silver,No,E,Medium,Heavy,Medium
Silver,No,E,Low,Heavy,High
D,No,C,Low,Medium,Medium
Unknown,No,E,High,Medium,Low
Unknown,No,E,Medium,Heavy,Medium
White,No,C,Low,Medium,Medium
White,No,F,Low,Medium,Medium
White,No,E,Low,Medium,Medium
Stainless Steel,No,D,Medium,Heavy,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
Stainless Steel,No,E,Medium,Heavy,Medium
Unknown,No,C,Medium,Heavy,Medium
White,Unknown,E,Low,Heavy,Medium
Unknown,Unknown,E,Medium,Heavy,Medium
Unknown,Unknown,E,Low,Heavy,Medium
White,Unknown,D,Medium,Heavy,Medium
Stainless Steel,Unknown,E,Medium,Heavy,Medium
White,Unknown,C,Low,Heavy,Medium
Stainless Steel,Unknown,D,Medium,Heavy,Medium
White,Unknown,A+,Low,Medium,Medium
White,Unknown,E,Medium,Light,Medium
White,Unknown,E,Medium,Light,Medium
Unknown,Unknown,C,Low,Light,High
White,No,F,Low,Light,High
